BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
6684.38;281.73;0.09;0.07;93.64
6736.04;277.97;0.09;0.07;92.44
6728.29;273.5;0.09;0.07;95.08
6911.1;286.96;0.1;0.08;105.08
7075.98;296.3;0.11;0.08;107.73
7046.75;288.51;0.11;0.08;103.51
7024.15;285.1;0.1;0.08;102.67
7027.63;282.22;0.1;0.08;116.36
7211.27;295.65;0.11;0.08;121.82
7305.27;294.59;0.11;0.08;122.43
7260.9;288.85;0.1;0.07;135.56
7359.46;285.49;0.11;0.06;137.93
6764.93;232.6;0.09;0.06;115.42
6498.28;229.37;0.09;0.06;117.53
6397.82;215.43;0.08;0.06;111.47
6181.19;196.87;0.08;0.06;103.73
6260.76;195.88;0.08;0.06;105.5
6308.14;196.36;0.07;0.06;105.4
6278.92;184.08;0.07;0.07;105.42
6330.57;182.95;0.07;0.07;104.53
6486.46;211.83;0.07;0.07;112.11
6500.01;211.38;0.07;0.07;116.81
6530.22;223.05;0.07;0.06;119.37
6506.25;220.14;0.07;0.07;117.16
6250.12;196.58;0.06;0.07;107.21
6347.07;210.15;0.07;0.08;112.45
6383.75;209.14;0.07;0.08;109.58
6491.89;224.38;0.08;0.08;116.11
6753.83;247.41;0.09;0.08;123.74
6747.03;241.84;0.08;0.08;122.71
6711.03;244.78;0.09;0.07;122.76
6596.19;228.34;0.08;0.07;115.18
6441.31;219.5;0.08;0.08;116.49
6462.8;214.98;0.08;0.08;115.42
6704.7;229.22;0.09;0.07;119.52
6634.77;222.23;0.08;0.07;116.96
6606.07;231.74;0.08;0.07;114.83
6626.04;232.78;0.09;0.07;116.21
6598.84;231.14;0.08;0.07;114.62
6524.61;225.79;0.08;0.08;116.75
6499.26;220.47;0.08;0.08;114.84
6578.7;222.2;0.08;0.08;114.79
6621.19;228.04;0.08;0.08;115.11
6589.12;225.07;0.08;0.08;115.2
6584.83;225.66;0.08;0.08;113.58
6653.09;229.52;0.09;0.07;114.35
6633.75;227.97;0.09;0.07;113.72
6582.46;225.66;0.08;0.07;113.71
6234.37;192;0.07;0.07;102.32
6285.59;197.07;0.07;0.07;102.8
6314.88;201.05;0.07;0.07;104.71
6328.55;196.32;0.07;0.07;101.46
6659.88;212.2;0.08;0.07;106.41
6635.13;212.44;0.08;0.07;107.81
6635.74;211.08;0.08;0.07;108.39
6517.51;204.31;0.08;0.07;103.55
6483.83;203.98;0.08;0.07;105.09
6532.68;206.88;0.08;0.07;104.28
6529.67;206.31;0.08;0.07;104.67
6512.59;205.04;0.08;0.07;106.03
6472.8;204.08;0.08;0.07;107.43
6481.44;203.52;0.07;0.07;105.84
6458.19;202.35;0.07;0.08;105.63
6468.83;203.38;0.07;0.08;103.68
6457.06;203.19;0.07;0.07;102.84
6481.32;204.72;0.07;0.07;103.07
6292.65;195.75;0.07;0.08;99.49
